# panacus histgrowth ecoli2146.pan.explode.0.og.crush.gfa -c bp -q 0,1,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	1	0.5	0.1
0	NaN	NaN	NaN	NaN
1	4536799	4536799	4536799	4536799
2	5673313	3400286	5673313	5673313
3	6364858	2955318	4290221	6364858
4	6908816	2657938	4732985	6908816
5	7368877	2424250	4229606	7368877
6	7772136	2227159	4500548	7772136
7	8133869	2054847	4195018	8133869
8	8463729	1901122	4391859	8463729
9	8768238	1762282	4172714	8768238
10	9052023	1635885	4328528	9052023
11	9318498	1520186	4157232	6387273
12	9570261	1413866	4286796	6549099
13	9809344	1315879	4145817	6701272
14	10037366	1225369	4257022	6845053
15	10255646	1141618	4136995	6981443
16	10465272	1064011	4234581	7111255
17	10667154	992011	4129934	7235164
18	10862061	925150	4216987	7353735
19	11050650	863010	4124135	7467455
20	11233488	805217	4202780	7576742
21	11411064	751436	4119278	6577134
22	11583808	701363	4191046	6667158
23	11752096	654721	4115150	6754157
24	11916261	611260	4181180	6838323
25	12076598	570748	4111601	6919828
26	12233370	532974	4172766	6998826
27	12386814	497745	4108521	7075459
28	12537141	464881	4165504	7149860
29	12684543	434217	4105828	7222149
30	12829192	405602	4159176	7292440
31	12971247	378893	4103458	6654056
32	13110849	353961	4153615	6716990
33	13248130	330685	4101362	6778396
34	13383211	308951	4148693	6838332
35	13516200	288656	4099500	6896854
36	13647199	269702	4144311	6954015
37	13776302	252000	4097840	7009867
38	13903596	235466	4140388	7064460
39	14029160	220021	4096356	7117844
40	14153069	205593	4136861	7170064
41	14275393	192114	4095027	6697361
42	14396195	179522	4133676	6745887
43	14515537	167756	4093833	6793461
44	14633474	156764	4130790	6840109
45	14750059	146493	4092759	6885856
46	14865343	136895	4128167	6930728
47	14979372	127928	4091792	6974750
48	15092190	119548	4125775	7017948
49	15203837	111717	4090921	7060346
50	15314354	104399	4123590	7101969
51	15423777	97560	4090136	6725940
52	15532142	91170	4121589	6765464
53	15639480	85197	4089428	6804323
54	15745824	79616	4119752	6842533
55	15851203	74400	4088791	6880106
56	15955646	69525	4118064	6917057
57	16059179	64969	4088217	6953402
58	16161829	60712	4116510	6989156
59	16263619	56733	4087700	7024332
60	16364573	53014	4115077	7058947
61	16464714	49539	4087236	6746647
62	16564062	46291	4113753	6779993
63	16662638	43256	4086820	6812841
64	16760461	40419	4112530	6845201
65	16857551	37768	4086448	6877080
66	16953924	35290	4111399	6908488
67	17049598	32974	4086116	6939436
68	17144590	30810	4110352	6969934
69	17238915	28788	4085821	6999990
70	17332588	26898	4109381	7029617
71	17425624	25132	4085560	6762584
72	17518038	23481	4108481	6791419
73	17609842	21939	4085330	6819863
74	17701050	20498	4107646	6847921
75	17791675	19151	4085128	6875601
76	17881727	17892	4106871	6902909
77	17971220	16716	4084954	6929852
78	18060164	15617	4106151	6956436
79	18148570	14590	4084803	6982671
80	18236450	13630	4105483	7008562
81	18323812	12733	4084676	6775363
82	18410666	11895	4104862	6800756
83	18497024	11112	4084569	6825831
84	18582892	10380	4104285	6850592
85	18668282	9697	4084482	6875045
86	18753200	9058	4103749	6899194
87	18837656	8461	4084412	6923045
88	18921658	7904	4103251	6946604
89	19005213	7383	4084359	6969875
90	19088329	6896	4102788	6992865
91	19171014	6441	4084322	6785912
92	19253275	6017	4102358	6808591
93	19335118	5620	4084299	6831004
94	19416551	5249	4101959	6853156
95	19497581	4903	4084289	6875051
96	19578213	4579	4101589	6896693
97	19658454	4277	4084291	6918086
98	19738310	3994	4101245	6939233
99	19817786	3731	4084305	6960141
100	19896890	3484	4100927	6980812
101	19975626	3254	4084329	6794809
102	20054000	3039	4100632	6815291
103	20132016	2838	4084363	6835549
104	20209681	2651	4100359	6855585
105	20287000	2475	4084406	6875403
106	20363976	2312	4100106	6895005
107	20440616	2159	4084458	6914396
108	20516924	2016	4099873	6933578
109	20592904	1883	4084517	6952556
110	20668560	1758	4099657	6971332
111	20743898	1642	4084584	6802434
112	20818922	1533	4099459	6821103
113	20893635	1432	4084657	6839579
114	20968042	1337	4099277	6857865
115	21042147	1249	4084737	6875962
116	21115953	1166	4099109	6893874
117	21189464	1089	4084822	6911604
118	21262685	1017	4098955	6929154
119	21335618	950	4084912	6946527
120	21408268	887	4098815	6963726
121	21480638	828	4085008	6809052
122	21552730	773	4098687	6826199
123	21624550	722	4085108	6843179
124	21696099	675	4098571	6859992
125	21767381	630	4085212	6876642
126	21838399	588	4098465	6893130
127	21909156	549	4085321	6909460
128	21979656	513	4098370	6925632
129	22049901	479	4085432	6941650
130	22119894	448	4098285	6957517
131	22189637	418	4085547	6814855
132	22259135	391	4098209	6830707
133	22328389	365	4085665	6846411
134	22397401	341	4098141	6861970
135	22466176	318	4085786	6877385
136	22534715	297	4098082	6892658
137	22603020	278	4085909	6907791
138	22671095	260	4098030	6922787
139	22738942	243	4086035	6937646
140	22806562	227	4097985	6952371
141	22873960	212	4086163	6819985
142	22941135	198	4097947	6834721
143	23008092	185	4086292	6849327
144	23074832	173	4097916	6863804
145	23141358	162	4086423	6878154
146	23207671	151	4097890	6892378
147	23273773	141	4086556	6906478
148	23339668	132	4097871	6920455
149	23405356	124	4086690	6934312
150	23470840	116	4097856	6948051
151	23536121	108	4086826	6824551
152	23601203	101	4097847	6838317
153	23666086	95	4086962	6851967
154	23730772	89	4097842	6865502
155	23795264	83	4087100	6878923
156	23859562	78	4097842	6892233
157	23923670	73	4087238	6905432
158	23987589	68	4097846	6918521
159	24051319	64	4087377	6931503
160	24114864	60	4097854	6944379
161	24178225	56	4087517	6828641
162	24241403	52	4097866	6841555
163	24304400	49	4087657	6854366
