# panacus histgrowth ecoli2146.pan.explode.0.og.crush.og.2013.gfa -c bp -q 0,0.95,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	0.95	0.5	0.1
0	NaN	NaN	NaN	NaN
1	4822592	4822592	4822592	4822592
2	5791912	3853271	5791912	5791912
3	6473623	3565661	4428491	6473623
4	7019132	3414253	4837095	7019132
5	7481128	3315532	4336011	7481128
6	7885979	3243128	4599712	7885979
7	8248989	3185973	4293670	8248989
8	8579867	3138593	4489428	8579867
9	8885176	3097961	4269295	8885176
10	9169578	3062256	4425730	9169578
11	9436515	3030310	4253363	6500212
12	9688609	3001325	4384144	6663471
13	9927915	2974735	4242070	6816942
14	10156072	2950123	4354742	6961876
15	10374415	2927171	4233609	7099275
16	10584045	2905629	4332769	7229956
17	10785885	2885301	4227016	7354600
18	10980715	2866026	4315669	7473786
19	11169198	2847674	4221724	7588010
20	11351909	3180894	4301950	7697706
21	11529341	3166431	4217381	6695018
22	11701930	3152859	4290680	6785928
23	11870054	3140079	4213752	6873699
24	12034049	3128006	4281244	6958527
25	12194212	3116567	4210677	7040591
26	12350808	3105697	4273223	7120055
27	12504074	3095340	4208039	7197068
28	12654223	3085447	4266316	7271771
29	12801446	3075974	4205753	7344293
30	12945918	3066883	4260303	7414756
31	13087796	3058140	4203756	6775255
32	13227223	3049713	4255021	6838710
33	13364330	3041577	4201998	6900556
34	13499237	3033707	4250344	6960855
35	13632054	3026082	4200441	7019670
36	13762882	3018682	4246173	7077063
37	13891815	3011490	4199054	7133089
38	14018939	3004491	4242430	7187807
39	14144335	2997670	4197813	7241270
40	14268075	3124110	4239054	7293530
41	14390231	3117769	4196696	6820772
42	14510866	3111635	4235993	6869580
43	14630039	3105694	4195689	6917379
44	14747809	3099931	4233205	6964200
45	14864227	3094336	4194776	7010073
46	14979343	3088897	4230658	7055027
47	15093203	3083605	4193947	7099094
48	15205852	3078449	4228320	7142302
49	15317331	3073422	4193191	7184682
50	15427678	3068515	4226169	7226261
51	15536930	3063722	4192501	6850834
52	15645123	3059036	4224184	6890477
53	15752289	3054451	4191870	6929415
54	15858460	3049962	4222346	6967666
55	15963666	3045562	4191290	7005247
56	16067934	3041249	4220641	7042177
57	16171291	3037016	4190758	7078475
58	16273764	3032861	4219056	7114159
59	16375376	3028779	4190268	7149247
60	16476152	3105014	4217578	7183758
61	16576112	3101053	4189816	6872537
62	16675279	3097174	4216198	6905885
63	16773673	3093374	4189399	6938705
64	16871313	3089647	4214907	6971011
65	16968217	3085991	4189013	7002813
66	17064404	3082403	4213697	7034124
67	17159891	3078879	4188656	7064958
68	17254695	3075416	4212562	7095326
69	17348830	3072012	4188326	7125242
70	17442313	3068664	4211495	7154717
71	17535157	3065371	4188019	6889133
72	17627378	3062128	4210491	6917884
73	17718987	3058936	4187735	6946222
74	17810000	3055791	4209544	6974157
75	17900427	3052691	4187471	7001697
76	17990282	3049636	4208651	7028851
77	18079575	3046624	4187225	7055629
78	18168318	3043652	4207807	7082039
79	18256523	3040719	4186997	7108092
80	18344199	3095711	4207009	7133797
81	18431357	3092833	4186785	6902337
82	18518007	3089996	4206253	6927582
83	18604157	3087201	4186587	6952495
84	18689818	3084445	4205537	6977080
85	18774999	3081728	4186403	7001347
86	18859707	3079047	4204858	7025301
87	18943952	3076401	4186232	7048949
88	19027741	3073790	4204213	7072299
89	19111083	3071211	4186072	7095358
90	19193985	3068665	4203601	7118134
91	19276455	3066150	4185924	6913147
92	19358499	3063666	4203018	6935632
93	19440125	3061210	4185785	6957841
94	19521339	3058783	4202463	6979780
95	19602149	3056383	4185656	7001455
96	19682561	3054010	4201935	7022870
97	19762580	3051663	4185536	7044032
98	19842214	3049341	4201432	7064947
99	19921467	3047043	4185424	7085619
100	20000346	3090240	4200952	7106054
101	20078857	3087975	4185319	6922190
102	20157004	3085736	4200493	6942446
103	20234794	3083522	4185222	6962470
104	20312231	3081332	4200056	6982266
105	20389321	3079166	4185132	7001839
106	20466068	3077023	4199638	7021193
107	20542478	3074903	4185047	7040334
108	20618554	3072804	4199238	7059264
109	20694302	3070726	4184969	7077990
110	20769727	3068670	4198856	7096516
111	20844832	3066633	4184896	6929883
112	20919621	3064616	4198490	6948303
113	20994100	3062618	4184828	6966524
114	21068271	3060639	4198139	6984551
115	21142140	3058678	4184765	7002387
116	21215710	3056735	4197803	7020036
117	21288985	3054810	4184706	7037501
118	21361968	3052902	4197482	7054787
119	21434663	3051010	4184652	7071897
120	21507074	3086644	4197173	7088835
121	21579204	3084775	4184602	6936515
122	21651058	3082925	4196877	6953398
123	21722637	3081091	4184555	6970109
124	21793945	3079273	4196593	6986652
125	21864987	3077472	4184512	7003029
126	21935763	3075686	4196320	7019245
127	22006279	3073916	4184472	7035301
128	22076537	3072161	4196057	7051202
129	22146539	3070420	4184436	7066949
130	22216289	3068694	4195805	7082547
131	22285790	3066982	4184402	6942298
132	22355044	3065284	4195563	6957875
133	22424055	3063600	4184371	6973303
134	22492824	3061928	4195330	6988584
135	22561354	3060270	4184342	7003721
136	22629649	3058624	4195106	7018715
137	22697710	3056991	4184316	7033571
138	22765540	3055370	4194890	7048290
139	22833142	3053761	4184293	7062875
140	22900518	3084109	4194682	7077328
141	22967670	3082519	4184271	6947385
142	23034601	3080942	4194482	6961842
143	23101313	3079376	4184251	6976168
144	23167808	3077823	4194289	6990363
145	23234088	3076282	4184234	7004432
146	23300156	3074751	4194103	7018375
147	23366013	3073232	4184218	7032196
148	23431663	3071724	4193923	7045896
149	23497106	3070227	4184203	7059477
150	23562344	3068740	4193751	7072942
151	23627381	3067264	4184191	6951898
152	23692218	3065798	4193584	6965383
