# panacus histgrowth ecoli2146.pan.explode.0.og.crush.og.2013.gfa -c bp -q 0,1,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	1	0.5	0.1
0	NaN	NaN	NaN	NaN
1	4822592	4822592	4822592	4822592
2	5791912	3853271	5791912	5791912
3	6473623	3565661	4428491	6473623
4	7019132	3414253	4837095	7019132
5	7481128	3315532	4336011	7481128
6	7885979	3243128	4599712	7885979
7	8248989	3185973	4293670	8248989
8	8579867	3138593	4489428	8579867
9	8885176	3097961	4269295	8885176
10	9169578	3062256	4425730	9169578
11	9436515	3030310	4253363	6500212
12	9688609	3001325	4384144	6663471
13	9927915	2974735	4242070	6816942
14	10156072	2950123	4354742	6961876
15	10374415	2927171	4233609	7099275
16	10584045	2905629	4332769	7229956
17	10785885	2885301	4227016	7354600
18	10980715	2866026	4315669	7473786
19	11169198	2847674	4221724	7588010
20	11351909	2830136	4301950	7697706
21	11529341	2813321	4217381	6695018
22	11701930	2797153	4290680	6785928
23	11870054	2781565	4213752	6873699
24	12034049	2766503	4281244	6958527
25	12194212	2751917	4210677	7040591
26	12350808	2737765	4273223	7120055
27	12504074	2724012	4208039	7197068
28	12654223	2710626	4266316	7271771
29	12801446	2697578	4205753	7344293
30	12945918	2684843	4260303	7414756
31	13087796	2672400	4203756	6775255
32	13227223	2660228	4255021	6838710
33	13364330	2648311	4201998	6900556
34	13499237	2636633	4250344	6960855
35	13632054	2625178	4200441	7019670
36	13762882	2613935	4246173	7077063
37	13891815	2602892	4199054	7133089
38	14018939	2592038	4242430	7187807
39	14144335	2581364	4197813	7241270
40	14268075	2570860	4239054	7293530
41	14390231	2560518	4196696	6820772
42	14510866	2550332	4235993	6869580
43	14630039	2540294	4195689	6917379
44	14747809	2530397	4233205	6964200
45	14864227	2520636	4194776	7010073
46	14979343	2511006	4230658	7055027
47	15093203	2501501	4193947	7099094
48	15205852	2492116	4228320	7142302
49	15317331	2482848	4193191	7184682
50	15427678	2473691	4226169	7226261
51	15536930	2464642	4192501	6850834
52	15645123	2455697	4224184	6890477
53	15752289	2446853	4191870	6929415
54	15858460	2438107	4222346	6967666
55	15963666	2429455	4191290	7005247
56	16067934	2420894	4220641	7042177
57	16171291	2412423	4190758	7078475
58	16273764	2404037	4219056	7114159
59	16375376	2395736	4190268	7149247
60	16476152	2387515	4217578	7183758
61	16576112	2379374	4189816	6872537
62	16675279	2371310	4216198	6905885
63	16773673	2363321	4189399	6938705
64	16871313	2355404	4214907	6971011
65	16968217	2347560	4189013	7002813
66	17064404	2339784	4213697	7034124
67	17159891	2332076	4188656	7064958
68	17254695	2324435	4212562	7095326
69	17348830	2316858	4188326	7125242
70	17442313	2309345	4211495	7154717
71	17535157	2301893	4188019	6889133
72	17627378	2294501	4210491	6917884
73	17718987	2287169	4187735	6946222
74	17810000	2279894	4209544	6974157
75	17900427	2272676	4187471	7001697
76	17990282	2265514	4208651	7028851
77	18079575	2258406	4187225	7055629
78	18168318	2251351	4207807	7082039
79	18256523	2244348	4186997	7108092
80	18344199	2237397	4207009	7133797
81	18431357	2230496	4186785	6902337
82	18518007	2223644	4206253	6927582
83	18604157	2216841	4186587	6952495
84	18689818	2210085	4205537	6977080
85	18774999	2203376	4186403	7001347
86	18859707	2196713	4204858	7025301
87	18943952	2190094	4186232	7048949
88	19027741	2183521	4204213	7072299
89	19111083	2176990	4186072	7095358
90	19193985	2170503	4203601	7118134
91	19276455	2164057	4185924	6913147
92	19358499	2157654	4203018	6935632
93	19440125	2151291	4185785	6957841
94	19521339	2144968	4202463	6979780
95	19602149	2138685	4185656	7001455
96	19682561	2132440	4201935	7022870
97	19762580	2126234	4185536	7044032
98	19842214	2120066	4201432	7064947
99	19921467	2113935	4185424	7085619
100	20000346	2107841	4200952	7106054
101	20078857	2101783	4185319	6922190
102	20157004	2095761	4200493	6942446
103	20234794	2089773	4185222	6962470
104	20312231	2083821	4200056	6982266
105	20389321	2077902	4185132	7001839
106	20466068	2072018	4199638	7021193
107	20542478	2066166	4185047	7040334
108	20618554	2060348	4199238	7059264
109	20694302	2054562	4184969	7077990
110	20769727	2048808	4198856	7096516
111	20844832	2043085	4184896	6929883
112	20919621	2037394	4198490	6948303
113	20994100	2031733	4184828	6966524
114	21068271	2026103	4198139	6984551
115	21142140	2020503	4184765	7002387
116	21215710	2014933	4197803	7020036
117	21288985	2009392	4184706	7037501
118	21361968	2003880	4197482	7054787
119	21434663	1998396	4184652	7071897
120	21507074	1992941	4197173	7088835
121	21579204	1987514	4184602	6936515
122	21651058	1982115	4196877	6953398
123	21722637	1976742	4184555	6970109
124	21793945	1971397	4196593	6986652
125	21864987	1966079	4184512	7003029
126	21935763	1960787	4196320	7019245
127	22006279	1955521	4184472	7035301
128	22076537	1950281	4196057	7051202
129	22146539	1945067	4184436	7066949
130	22216289	1939878	4195805	7082547
131	22285790	1934714	4184402	6942298
132	22355044	1929575	4195563	6957875
133	22424055	1924460	4184371	6973303
134	22492824	1919370	4195330	6988584
135	22561354	1914303	4184342	7003721
136	22629649	1909261	4195106	7018715
137	22697710	1904242	4184316	7033571
138	22765540	1899246	4194890	7048290
139	22833142	1894274	4184293	7062875
140	22900518	1889324	4194682	7077328
141	22967670	1884397	4184271	6947385
142	23034601	1879492	4194482	6961842
143	23101313	1874610	4184251	6976168
144	23167808	1869750	4194289	6990363
145	23234088	1864911	4184234	7004432
146	23300156	1860094	4194103	7018375
147	23366013	1855299	4184218	7032196
148	23431663	1850524	4193923	7045896
149	23497106	1845771	4184203	7059477
150	23562344	1841038	4193751	7072942
151	23627381	1836327	4184191	6951898
152	23692218	1831635	4193584	6965383
